T05,International migrants and refugees,,,,,
419,Latin America & the Caribbean,2015,Total population of concern to UNHCR (number),"7,071,220",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
419,Latin America & the Caribbean,2019,Total refugees and people in refugee-like situations (number),"220,962",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
419,Latin America & the Caribbean,2019,"Asylum seekers, including pending cases (number)","759,306",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
419,Latin America & the Caribbean,2019,Other of concern to UNHCR (number),"12,450,136",Including Venezuelans displaced abroad.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
419,Latin America & the Caribbean,2019,Total population of concern to UNHCR (number),"13,430,404",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
419,Latin America & the Caribbean,2020,International migrant stock: Both sexes (number),"14,794,623",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
419,Latin America & the Caribbean,2020,International migrant stock: Both sexes (% total population),2.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
419,Latin America & the Caribbean,2020,International migrant stock: Male (% total Population),2.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
419,Latin America & the Caribbean,2020,International migrant stock: Female (% total Population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
29,Caribbean,2005,International migrant stock: Both sexes (number),"1,275,731",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
29,Caribbean,2005,International migrant stock: Both sexes (% total population),3.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
29,Caribbean,2005,International migrant stock: Male (% total Population),3.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
29,Caribbean,2005,International migrant stock: Female (% total Population),3.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
29,Caribbean,2010,International migrant stock: Both sexes (number),"1,338,893",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
29,Caribbean,2010,International migrant stock: Both sexes (% total population),3.2,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
29,Caribbean,2010,International migrant stock: Male (% total Population),3.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
29,Caribbean,2010,International migrant stock: Female (% total Population),3.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
29,Caribbean,2015,International migrant stock: Both sexes (number),"1,501,081",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
29,Caribbean,2015,International migrant stock: Both sexes (% total population),3.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
29,Caribbean,2015,International migrant stock: Male (% total Population),3.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
29,Caribbean,2015,International migrant stock: Female (% total Population),3.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
29,Caribbean,2020,International migrant stock: Both sexes (number),"1,605,148",,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
29,Caribbean,2020,International migrant stock: Both sexes (% total population),3.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
29,Caribbean,2020,International migrant stock: Male (% total Population),4.0,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
29,Caribbean,2020,International migrant stock: Female (% total Population),3.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021."
420,Latin America,2021,Total refugees and people in refugee-like situations (number),"273,019",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
420,Latin America,2021,"Asylum seekers, including pending cases (number)","1,035,439",,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2022."
